"Versi";"Negeri";"Kod Daerah Pentadbiran";"Status Rekod"
"2000";"01-Johor";"01-Batu Pahat";"Aktif"
"2000";"01-Johor";"02-Johor Bahru";"Aktif"
"2000";"01-Johor";"03-Kluang";"Aktif"
"2000";"01-Johor";"04-Kota Tinggi";"Aktif"
"2000";"01-Johor";"05-Mersing";"Aktif"
"2000";"01-Johor";"06-Muar";"Aktif"
"2000";"01-Johor";"07-Pontian";"Aktif"
"2000";"01-Johor";"08-Segamat";"Aktif"
"2000";"01-Johor";"09-Kulai";"Aktif"
"2000";"01-Johor";"10-Tangkak";"Aktif"
"2000";"02-Kedah";"01-Baling";"Aktif"
"2000";"02-Kedah";"02-Bandar Baharu";"Aktif"
"2000";"02-Kedah";"03-Kota Setar";"Aktif"
"2000";"02-Kedah";"04-Kuala Muda";"Aktif"
"2000";"02-Kedah";"05-Kubang Pasu";"Aktif"
"2000";"02-Kedah";"06-Kulim";"Aktif"
"2000";"02-Kedah";"07-Langkawi";"Aktif"
"2000";"02-Kedah";"08-Padang Terap";"Aktif"
"2000";"02-Kedah";"09-Sik";"Aktif"
"2000";"02-Kedah";"10-Yan";"Aktif"
"2000";"02-Kedah";"11-Pendang";"Aktif"
"2000";"02-Kedah";"12-Pokok Sena";"Aktif"
"2000";"03-Kelantan";"01-Bachok";"Aktif"
"2000";"03-Kelantan";"02-Kota Bharu";"Aktif"
"2000";"03-Kelantan";"03-Machang";"Aktif"
"2000";"03-Kelantan";"04-Pasir Mas";"Aktif"
"2000";"03-Kelantan";"05-Pasir Puteh";"Aktif"
"2000";"03-Kelantan";"06-Tanah Merah";"Aktif"
"2000";"03-Kelantan";"07-Tumpat";"Aktif"
"2000";"03-Kelantan";"08-Gua Musang";"Aktif"
"2000";"03-Kelantan";"09-Kuala Krai";"Aktif"
"2000";"03-Kelantan";"10-Jeli";"Aktif"
"2020";"03-Kelantan";"11-Jajahan Kecil Lojing";"Aktif"
"2000";"04-Melaka";"01-Alor Gajah";"Aktif"
"2000";"04-Melaka";"02-Jasin";"Aktif"
"2000";"04-Melaka";"03-Melaka Tengah";"Aktif"
"2000";"05-Negeri Sembilan";"01-Jelebu";"Aktif"
"2000";"05-Negeri Sembilan";"02-Kuala Pilah";"Aktif"
"2000";"05-Negeri Sembilan";"03-Port Dickson";"Aktif"
"2000";"05-Negeri Sembilan";"04-Rembau";"Aktif"
"2000";"05-Negeri Sembilan";"05-Seremban";"Aktif"
"2000";"05-Negeri Sembilan";"06-Tampin";"Aktif"
"2000";"05-Negeri Sembilan";"07-Jempol";"Aktif"
"2000";"06-Pahang";"01-Bentong";"Aktif"
"2000";"06-Pahang";"02-Cameron Highland";"Aktif"
"2000";"06-Pahang";"03-Jerantut";"Aktif"
"2000";"06-Pahang";"04-Kuantan";"Aktif"
"2000";"06-Pahang";"05-Lipis";"Aktif"
"2000";"06-Pahang";"06-Pekan";"Aktif"
"2000";"06-Pahang";"07-Raub";"Aktif"
"2000";"06-Pahang";"08-Temerloh";"Aktif"
"2000";"06-Pahang";"09-Rompin";"Aktif"
"2000";"06-Pahang";"10-Maran";"Aktif"
"2000";"06-Pahang";"11-Bera";"Aktif"
"2000";"07-Pulau Pinang";"01-Seberang Perai Tengah";"Aktif"
"2000";"07-Pulau Pinang";"02-Seberang Perai Utara";"Aktif"
"2000";"07-Pulau Pinang";"03-Seberang Perai Selatan";"Aktif"
"2000";"07-Pulau Pinang";"04-Timur Laut";"Aktif"
"2000";"07-Pulau Pinang";"05-Barat Daya";"Aktif"
"2000";"08-Perak";"01-Batang Padang";"Aktif"
"2000";"08-Perak";"02-Manjung (Dinding)";"Aktif"
"2000";"08-Perak";"03-Kinta";"Aktif"
"2000";"08-Perak";"04-Kerian";"Aktif"
"2000";"08-Perak";"05-Kuala Kangsar";"Aktif"
"2000";"08-Perak";"06-Larut dan Matang";"Aktif"
"2000";"08-Perak";"07-Hilir Perak";"Aktif"
"2000";"08-Perak";"08-Ulu Perak";"Aktif"
"2000";"08-Perak";"09-Perak Tengah";"Aktif"
"2000";"08-Perak";"10-Kampar";"Aktif"
"2000";"08-Perak";"11-Muallim";"Aktif"
"2000";"08-Perak";"12-Bagan Datuk";"Aktif"
"2000";"08-Perak";"13-Selama";"Aktif"
"2000";"09-Perlis";"01-Perlis";"Aktif"
"2000";"10-Selangor";"01-Gombak";"Aktif"
"2000";"10-Selangor";"02-Klang";"Aktif"
"2000";"10-Selangor";"03-Kuala Langat";"Aktif"
"2000";"10-Selangor";"04-Kuala Selangor";"Aktif"
"2000";"10-Selangor";"05-Petaling";"Aktif"
"2000";"10-Selangor";"06-Sabak Bernam";"Aktif"
"2000";"10-Selangor";"07-Sepang";"Aktif"
"2000";"10-Selangor";"08-Hulu Langat";"Aktif"
"2000";"10-Selangor";"09-Hulu Selangor";"Aktif"
"2000";"11-Terengganu";"01-Besut";"Aktif"
"2000";"11-Terengganu";"02-Dungun";"Aktif"
"2000";"11-Terengganu";"03-Kemaman";"Aktif"
"2000";"11-Terengganu";"04-Kuala Terengganu";"Aktif"
"2000";"11-Terengganu";"05-Marang";"Aktif"
"2000";"11-Terengganu";"06-Hulu Terengganu";"Aktif"
"2000";"11-Terengganu";"07-Setiu";"Aktif"
"2000";"11-Terengganu";"08-Kuala Nerus";"Aktif"
"2000";"12-Sabah";"01-Tawau";"Aktif"
"2000";"12-Sabah";"02-Lahad Datu";"Aktif"
"2000";"12-Sabah";"03-Semporna";"Aktif"
"2000";"12-Sabah";"04-Sandakan";"Aktif"
"2000";"12-Sabah";"05-Kinabatangan";"Aktif"
"2000";"12-Sabah";"06-Beluran";"Aktif"
"2000";"12-Sabah";"07-Kota Kinabalu";"Aktif"
"2000";"12-Sabah";"08-Ranau";"Aktif"
"2000";"12-Sabah";"09-Kota Belud";"Aktif"
"2000";"12-Sabah";"10-Tuaran";"Aktif"
"2000";"12-Sabah";"11-Penampang";"Aktif"
"2000";"12-Sabah";"12-Papar";"Aktif"
"2000";"12-Sabah";"13-Kudat";"Aktif"
"2000";"12-Sabah";"14-Kota Marudu";"Aktif"
"2000";"12-Sabah";"15-Pitas";"Aktif"
"2000";"12-Sabah";"16-Beaufort";"Aktif"
"2000";"12-Sabah";"17-Kuala Penyu";"Aktif"
"2000";"12-Sabah";"18-Sipitang";"Aktif"
"2000";"12-Sabah";"19-Tenom";"Aktif"
"2000";"12-Sabah";"20-Nabawan";"Aktif"
"2000";"12-Sabah";"21-Keningau";"Aktif"
"2000";"12-Sabah";"22-Tambunan";"Aktif"
"2000";"12-Sabah";"23-Kunak";"Aktif"
"2000";"12-Sabah";"24-Tongod";"Aktif"
"2000";"12-Sabah";"25-Putatan";"Aktif"
"2000";"12-Sabah";"26-Telupid";"Aktif"
"2000";"12-Sabah";"27-Kalabakan";"Aktif"
"2000";"13-Sarawak";"01-Kuching";"Aktif"
"2000";"13-Sarawak";"02-Bau";"Aktif"
"2000";"13-Sarawak";"03-Lundu";"Aktif"
"2000";"13-Sarawak";"04-Samarahan";"Aktif"
"2000";"13-Sarawak";"05-Serian";"Aktif"
"2000";"13-Sarawak";"06-Simunjan";"Aktif"
"2000";"13-Sarawak";"07-Sri Aman";"Aktif"
"2000";"13-Sarawak";"08-Lubok Antu";"Aktif"
"2000";"13-Sarawak";"09-Betong";"Aktif"
"2000";"13-Sarawak";"10-Saratok";"Aktif"
"2000";"13-Sarawak";"11-Sarikei";"Aktif"
"2000";"13-Sarawak";"12-Meradong";"Aktif"
"2000";"13-Sarawak";"13-Daro";"Aktif"
"2000";"13-Sarawak";"14-Julau";"Aktif"
"2000";"13-Sarawak";"15-Sibu";"Aktif"
"2000";"13-Sarawak";"16-Dalat";"Aktif"
"2000";"13-Sarawak";"17-Mukah";"Aktif"
"2000";"13-Sarawak";"18-Kanowit";"Aktif"
"2000";"13-Sarawak";"19-Bintulu";"Aktif"
"2000";"13-Sarawak";"20-Tatau";"Aktif"
"2000";"13-Sarawak";"21-Kapit";"Aktif"
"2000";"13-Sarawak";"22-Song";"Aktif"
"2000";"13-Sarawak";"23-Belaga";"Aktif"
"2000";"13-Sarawak";"24-Miri";"Aktif"
"2000";"13-Sarawak";"25-Marudi";"Aktif"
"2000";"13-Sarawak";"26-Limbang";"Aktif"
"2000";"13-Sarawak";"27-Lawas";"Aktif"
"2000";"13-Sarawak";"28-Matu";"Aktif"
"2000";"13-Sarawak";"29-Asajaya";"Aktif"
"2000";"13-Sarawak";"30-Pakan";"Aktif"
"2000";"13-Sarawak";"31-Selangau";"Aktif"
"2000";"13-Sarawak";"32-Tebedu";"Aktif"
"2000";"13-Sarawak";"33-Pusa";"Aktif"
"2000";"13-Sarawak";"34-Kabong";"Aktif"
"2000";"13-Sarawak";"35-Tanjung Manis";"Aktif"
"2000";"13-Sarawak";"36-Sebauh";"Aktif"
"2000";"13-Sarawak";"37-Bukit Mabong";"Aktif"
"2000";"13-Sarawak";"38-Subis";"Aktif"
"2000";"13-Sarawak";"39-Beluru";"Aktif"
"2000";"13-Sarawak";"40-Telang Usan";"Aktif"
"2000";"14-W.P. Kuala Lumpur";"01-W.P. Kuala Lumpur";"Aktif"
"2000";"15-W.P. Labuan";"01-W.P. Labuan";"Aktif"
"2000";"16-W.P. Putrajaya";"01-W.P. Putrajaya";"Aktif"